id,meetings,crosslists,max_capacity,longname,identifier,instructor,weight,external_url,slug,assigned_students,waitlisted_students,is_locked,is_required,target_capacity,description,allow_pass_fail,allow_student_add_drop
30432,[],[],50.0,(EMBA - Global Block Week) Managerial Negotiations,MGMTB7510-300-20221-EMBA,Malia Mason,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7510-300,MGMTB7510-300-20221-EMBA,50,0,True,False,50,In-person,False,True
30433,"[{'id': 37225, 'location': 'Kravis 670', 'day': 2, 'starttime': '10:20:00', 'endtime': '11:50:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}, {'id': 37226, 'location': 'Kravis 670', 'day': 4, 'starttime': '10:20:00', 'endtime': '11:50:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],74.0,(MBA - Full Term) Power & Influence,MGMTB8531-001-20221-MBA,Eric Abrahamson,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8531-001,MGMTB8531-001-20221-MBA,74,0,False,False,74,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30434,"[{'id': 37227, 'location': 'Kravis 690', 'day': 3, 'starttime': '10:20:00', 'endtime': '13:35:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],25.0,(PhD - A Term) Pricing Strategies,MRKTB8649-060-20221-MSPHD,Asim Ansari,1.5,https://www8.gsb.columbia.edu/courses/PHD/2022/Spring/B8649-060,MRKTB8649-060-20221-MSPHD,15,0,True,False,25,In-person,False,True
30435,"[{'id': 37228, 'location': 'Geffen 440', 'day': 5, 'starttime': '09:00:00', 'endtime': '17:30:00', 'startdate': '2022-03-18', 'enddate': '2022-03-20'}, {'id': 37229, 'location': 'Geffen 440', 'day': 6, 'starttime': '09:00:00', 'endtime': '17:30:00', 'startdate': '2022-03-18', 'enddate': '2022-03-20'}, {'id': 37230, 'location': 'Geffen 440', 'day': 7, 'starttime': '08:30:00', 'endtime': '13:00:00', 'startdate': '2022-03-18', 'enddate': '2022-03-20'}]",[],36.0,(MBA - Spring/March Half Block Week) Immersive Teamwork,MGMTB8592-002-20221-MBA,Daniel Ames,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8592-002,MGMTB8592-002-20221-MBA,36,0,False,False,36,"In-person. In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.

This course is happening from March 18 - 20 (Friday - Sunday).",False,True
30436,"[{'id': 37231, 'location': 'Geffen 640', 'day': 1, 'starttime': '16:30:00', 'endtime': '19:45:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],66.0,(MBA - B Term) Global Real Estate Investment,FINCB8337-001-20221-MBA,Camille Douglas,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8337-001,FINCB8337-001-20221-MBA,42,0,True,False,66,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30437,"[{'id': 37232, 'location': 'Kravis 640', 'day': 2, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],49.0,(MBA - Full Term) Top Management Process,MGMTB8515-002-20221-MBA,Lori Yue,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8515-002,MGMTB8515-002-20221-MBA,49,0,False,False,49,In-person,False,True
30438,"[{'id': 37233, 'location': 'Geffen 620', 'day': 1, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],25.0,(PhD - Full Term) MS Digital Marketing,MRKTB9655-001-20221-MSPHD,Michelle Greenwald,3.0,https://www8.gsb.columbia.edu/courses/PHD/2022/Spring/B9655-001,MRKTB9655-001-20221-MSPHD,1,0,True,False,25,In-person,False,True
30439,"[{'id': 37234, 'location': 'Geffen 640', 'day': 2, 'starttime': '17:40:00', 'endtime': '19:10:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}, {'id': 37235, 'location': 'Geffen 640', 'day': 4, 'starttime': '17:40:00', 'endtime': '19:10:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],66.0,(MBA - A Term) Value Investing,FINCB8377-002-20221-MBA,Jesus (Tano) Santos,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8377-002,FINCB8377-002-20221-MBA,66,0,False,False,66,In-person,False,True
30440,"[{'id': 37236, 'location': 'Kravis 640', 'day': 1, 'starttime': '15:50:00', 'endtime': '19:05:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],63.0,(MBA - Full Term) The Business of Aesthetics and Experiences,MRKTB8616-001-20221-MBA,"Pauline Brown,Bernd Schmitt",3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8616-001,MRKTB8616-001-20221-MBA,63,0,False,False,63,In-person,False,True
30441,"[{'id': 37237, 'location': 'Geffen 440', 'day': 3, 'starttime': '10:20:00', 'endtime': '13:35:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],43.0,(MBA - B Term) Advanced Seminar in Real Estate,FINCB8340-001-20221-MBA,"Michelle Felman,Russell Platt",1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8340-001,FINCB8340-001-20221-MBA,33,0,True,False,43,In-person,False,True
30442,"[{'id': 37238, 'location': 'Kravis 430', 'day': 2, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],25.0,(PhD - A Term) (PhD) Dynamic Programming,DROMB9120-001-20221-MSPHD,Awi Federgruen,1.5,https://www8.gsb.columbia.edu/courses/PHD/2022/Spring/B9120-001,DROMB9120-001-20221-MSPHD,24,0,True,False,25,In-person,False,True
